RC NUMBER,COMPANY NAME,ADDRESS
1229148,AABEG . COM LIMITED,"1,3,5, ADEBAKIN STREET, SANTOS LAYOUT DOPEMU"
1305399,AABF ALH ALIYU BUBA FADAMA LTD,NO 5 NYAKO STREET HONG
397879,AABIAM'S AND SONS LIMITED,"NO1,CHORGUSTREET,OMORU,ONELGA,RIVERS"
BY3901,AABIB OIL & GAS,"ROAD 1 EXTENSION, FEDERAL HOUSING ESTATE PORT HARCOURT , PHCITY,RIVERS"
492840,AABIJO CO. VENTURES LTD,"PLOT927,SOKONDECREST.,,WUSEZONE5,WUSE"
956576,AABIK EBOGU NIGERIA LTD,"1,LIN-CLEMCLOSE,OZARA,OBOSI,ANAMBRA"
346274,AABIS VENTURES NIGERIA LIMITED,"1,ORILEILASANVILLAGEIBEJU,LEKKI,LAGOS"
944183,AABIZ SERVICES LTD,"1,OGUNYINKASTREET,OFFAIR-PORTROAD,LAGOS,LAGOS"
148373,AABOA NIG LTD,"BLK 29, FLT1, OJOKORO HOUSING , LAGOS ,LAGOS"
244946,AABOG INTERNATIONAL COMPANY LIMITED,"77/79,, OLA STR., OFF IJESHA RD., S/LERE , LAGOS ,LAGOS"
2193556,AABOIL VENTURES,"11,TOYINBALOGUNSTREET,,ALAGBADO,,LAGOS"
588994,AABOM MARAETINE CO.,"FINANCE OFFICE,P. M. B 1146 , APAPA,LAGOS"
126249,AABON PRODUCTS NIG LTD,"PLOT 35, EZIAMA AVE , ABA ,ABIA"
969068,AABOVE DE MARK LIMITED,"16ADEDOYINSTKOSOFEKETU,LAGOS,LAGOS"
84360,AABOWA & CO. NIG LTD,"OBANLAS COMP. P. O. BOX 100 , IDO-EKITI ,ONDO"
742123,AABRA FARMS LIMITED,"D7,COMMISSIONERSQTRS,YENAGOA,BAYELSA"
873157,AABRA VENTURES,"NO. 15, NAVY ROAD , APAPA,LAGOS"
AK19492,AABRAHAM EKPO CONSULT,"NO. 6, ETEFIA STREET UYO , UYO,AKWA IBOM"
582299,AABRATUBOSUN & COMPANY,"4 AKANJI STREET , SURULERE,LAGOS"
1253916,AABSAND CONSTRUCTION COMPANY LIMITED,"NO. 163, GANDUN ALBASA QUARTERS"
OY46529,AABSOL MULTIVENTURES,"15, GEORGE STREET, OKORO-OKETUNU ELEYELE IBADAN , IBADAN SOUTH WEST,OYO"
1307206,AABSOL SOLUTIONS AND SERVICES LIMITED,"24, OKE STREET, CHARLIE BOY BUS STOP"
688162,AABT ENGINEERING SUPPORT SERVICES LTD,"NO.3,CORNERSHOPNEARTARAUNICENTRALMOSQUE,KANO,KANO"
503211,AABUK NIGERIA LIMITED,"46,AWOLOWOROAD,,IKOYI,LAGOS"
1112719,AABVINC GLOBAL LIMITED,"30ATAORDISTREETOFFBABSANIMASHAUNNEARRITALORIHOTELSURULERE,LAGOS,LAGOS"
217440,AAC AND ASSOCAITES LTD,"PLOT 435 YOGBO RD TRAWO HOUSE NORIH BANK , MAKURDI ,BRONA"
665606,AAC CONSULTING LIMITED,"14ALHAJIOWOLEGBONSTREETATUNRASEESTATEGBAGADA,LAGOS,LAGOS"
1374969,AAC DYNAMIC SERVICES LTD,SHOPPING COMPLEX 10 AKANU IBIAM INT'L AIRPORT
1137987,AAC ENGINEERS & CONTRACTORS NIG. LTD,"KILOMETRE10,GOMBEBAUCHIROAD,FUNFURE,GOMBE,GOMBE,GOMBE"
2035261,AAC GLOBAL SERVICES,"NO.3PAULOSAQUARTERS,SULEJA,NIGER"
1133025,AAC GREEN LIMITED,"NO15MORRISSTABULEOJA,YABA,LAGOS"
1530651,AAC MIRACLE FEEDERS LTD,"SUITE A66/70, EFAB MALL, OFF AHMADU BELLO WAY, AREA 11, GARKI"
357993,AAC MOTORS LIMITED,"37,OLDMERCEDESSPAREPARTS,NKPOR-AGU,IDEMILINORTHLGA,ANAMBRA"
2243370,AAC PROFESSIONAL SERVICES,"ELEPHANT CEMENT HOUSE,1ST FLOOR, WING C,CENTRAL BUSINESS DISTRICT, ALAUSA, , IKEJA, ,LAGOS."
1376795,AAC TRAVELS & TOUR LTD,SHOPPING COMPLEX 10 AKANU IBIAM INT'L AIRPORT EMENE
168042,AAC-NOMINEES LTD,"35, MCINGSLEY STREET IKOYI , LAGOS ,LAGOS"
1477545,AACAPHS INTERNATIONAL COMPANY NIGERIA LTD,"ST PAUL'S ANGLICAN CHURCH COMPOUND, OBITTI IN OHAJI/EGBEMA LGA"
300573,AACB MICROFINANCE BANK LIMITED,"BANKBUILDING,ALONGAGULU-NNEWIROAD,ADAZI-ANI,ANAOCHAL.G.A,ADAZI-ANI,ANAMBRA"
603081,AACC EXCHANGE NIGERIA LTD,"17,ODUMBOSTREET,SOLOMADEIKORODU,LAGOS,LAGOS"
947727,AACCOLIS GLOBAL COMPANY LIMITED,"NO.624,SIRODUMEGWUOJUKWUROAD,UMUDIM,NNEWI,ANAMBRA"
856804,AACE FOOD PROCESSING AND DISTRIBUTION LIMITED,"NO8CHARLESLEMEHSTREETUNEC,ENUGU,ENUGU"
1014073,AACE PREMIUM FOODS LIMITED,"526,ABEOKUTAEXPRESSWAY,OJOKORO,LAGOS,LAGOS"
699647,AACEE & COY.,"80, ADENIYI JONES STR.,IKEJA , LAGOS,LAGOS"
367094,AACEE AND COMPANY NIGERIA LIMITED,"22,AGOWUSTREET,,OSHODI,LAGOS"
2495894,AACHAWAI FARMS,NO.1 EFIK ROAD MARAFA ESTATE
805398,AACHE & DREXLER LTD,"NO12,SATIGOGWIMCLOSE,JOS,PLATEAU"
905011,AACHEM NIG. ENTERPRISES,"4, MARKET LANE , ANKPA,KOGI"
972278,AACHEM NIGERIA LIMITED,"11BANJUISTREETWUSE11,ABUJA,FCT"
489173,AACHEN INTERNATIONAL LIMITED,"26RHODESCRESCENTAPAPA,LAGOS,,LAGOS"
146901,AACHENER - PLAST CONSTRUCTIONS LTD,"20, SOLOMON STR, , LAGOS ,LAGOS"
2054601,AACHI SAVE ROYAL ENTERPRISE,"SUITE02,ANGELSPLAZA,LADOKEAKINTOLABOULEVARD,GARKIII,,ABUJA,,F.C.T."
1253411,AACHO FARMS AND ALLIED SERVICES LIMITED,"PLOT 16A, ADEYERA ADEYEMO CLOSE, OFF RAMAT CRESCENT OGUDU."
NOT YET ASSIGNED,AACHRON LTD/GTE,"45,raymondnjokustreets.w.ikoyi,lagos,lagos"
NOT YET ASSIGNED,AACLE INTERNATIONAL LIMITED,"PLOT 20 MOBOLAJI BANK, ANTHONY WAY"
1329048,AACO AGRINVEST LIMITED,"NO 6 SHASHA ROAD, AKOWONJO"
123075,AACO ENTERPRISES NIG LTD,"23, CHURCH RD., SABON GARI , KANO ,KANO"
774979,AACO GLOBAL TEXTILES LTD,"NO6IGBESUVWESTREET,WARRI,DELTA"
170962,AACO INTERNATIONAL NIG LTD,"4A, OBOHIA ROAD , ABA ,ABIA"
1099400,AACO PRIME LOGISTICS LIMITED,"6, ONIYIDE STREET, OFF SOBANDE MOKOLA, , IBADAN ,OYO"
